Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.55     0.00   154152     0.00     0.00  nk_layout_reset_min_row_height
  0.00      0.55     0.00   151632     0.00     0.00  nk_layout_space_rect_to_local
  0.00      0.55     0.00   147792     0.00     0.00  nk_rect
  0.00      0.55     0.00   145800     0.00     0.00  nk_str_free
  0.00      0.55     0.00   144853     0.00     0.00  assetm_create_mesh_dbg
  0.00      0.55     0.00   140958     0.00     0.00  stbds_hash_string
  0.00      0.55     0.00   129074     0.00     0.00  nk_image_color
  0.00      0.55     0.00   118117     0.00     0.00  stbds_hmget_key
  0.00      0.55     0.00   108807     0.00     0.00  shader_set_vec3_handle_dbg
  0.00      0.55     0.00    94527     0.00     0.00  nk_strlen
  0.00      0.55     0.00    92845     0.00     0.00  shader_delete
  0.00      0.55     0.00    81225     0.00     0.00  nk_buffer_mark
  0.00      0.55     0.00    81224     0.00     0.00  nk_draw_list_path_clear
  0.00      0.55     0.00    70104     0.00     0.00  nk_vec2iv
  0.00      0.55     0.00    66227     0.00     0.00  nk_draw_list_path_fill
  0.00      0.55     0.00    63086     0.00     0.00  nk_widget
  0.00      0.55     0.00    61360     0.00     0.00  nk_fill_rect
  0.00      0.55     0.00    61233     0.00     0.00  nk_draw_list_fill_rect
  0.00      0.55     0.00    56965     0.00     0.00  nk_layout_row_push
  0.00      0.55     0.00    54545     0.00     0.00  nk_spacing
  0.00      0.55     0.00    53947     0.00     0.00  window_set_mode
  0.00      0.55     0.00    49550     0.00     0.00  nk_draw_text
  0.00      0.55     0.00    49549     0.00     0.00  nk_draw_list_add_text
  0.00      0.55     0.00    48315     0.00     0.00  stbds_rand_seed
  0.00      0.55     0.00    48035     0.00     0.00  assetm_create_material
  0.00      0.55     0.00    47963     0.00     0.00  nk_layout_row_begin
  0.00      0.55     0.00    46963     0.00     0.00  nk_selectable_label
  0.00      0.55     0.00    46963     0.00     0.00  nk_selectable_text
  0.00      0.55     0.00    45954     0.00     0.00  shader_set_vec2_handle_dbg
  0.00      0.55     0.00    44892     0.00     0.00  camera_get_up
  0.00      0.55     0.00    44210     0.00     0.00  stbtt_GetCodepointBitmapBox
  0.00      0.55     0.00    43976     0.00     0.00  nk_radio_label
  0.00      0.55     0.00    42892     0.00     0.00  camera_get_view_mat
  0.00      0.55     0.00    42892     0.00     0.00  event_sys_trigger_phys_collision
  0.00      0.55     0.00    36046     0.00     0.00  debug_timer_stop_timer_static_print_func
  0.00      0.55     0.00    30982     0.00     0.00  nk_stroke_rect
  0.00      0.55     0.00    30919     0.00     0.00  renderer_direct_draw_mesh_textured
  0.00      0.55     0.00    27959     0.00     0.00  renderer_init
  0.00      0.55     0.00    26954     0.00     0.00  debug_draw_line_func
  0.00      0.55     0.00    25076     0.00     0.00  nk_murmur_hash
  0.00      0.55     0.00    21978     0.00     0.00  nk_clear
  0.00      0.55     0.00    19044     0.00     0.00  state_entity_remove_child
  0.00      0.55     0.00    18981     0.00     0.00  nk_input_key
  0.00      0.55     0.00    18136     0.00     0.00  nk_input_is_mouse_hovering_rect
  0.00      0.55     0.00    18023     0.00     0.00  debug_timer_stop_timer_static_func
  0.00      0.55     0.00    16020     0.00     0.00  nk__draw_list_end
  0.00      0.55     0.00    16020     0.00     0.00  nk__draw_next
  0.00      0.55     0.00    15254     0.00     0.00  input_scroll_callback
  0.00      0.55     0.00    15021     0.00     0.00  nk_push_scissor
  0.00      0.55     0.00    14997     0.00     0.01  nk_draw_list_path_stroke
  0.00      0.55     0.00    14997     0.00     0.01  nk_draw_list_stroke_rect
  0.00      0.55     0.00    14985     0.00     0.00  input_key_callback
  0.00      0.55     0.00    12730     0.00     0.00  stbrp_pack_rects
  0.00      0.55     0.00    12053     0.00     0.00  nk_layout_row_dynamic
  0.00      0.55     0.00     9998     0.00     0.00  nk_prog
  0.00      0.55     0.00     9978     0.00     0.00  assetm_get_texture_data_arr_dbg
  0.00      0.55     0.00     8986     0.00     0.00  debug_draw_mesh_model_func
  0.00      0.55     0.00     8120     0.00     0.00  nk_rect_size
  0.00      0.55     0.00     7988     0.00     0.00  nk_stricmpn
  0.00      0.55     0.00     7976     0.00     0.00  renderer_direct_draw_triangle
  0.00      0.55     0.00     7004     0.00     0.00  nk_button_label
  0.00      0.55     0.00     7004     0.00     0.00  nk_button_text
  0.00      0.55     0.00     7004     0.00     0.00  nk_button_text_styled
  0.00      0.55     0.00     6894     0.00     0.00  stbtt_GetCodepointShape
  0.00      0.55     0.00     6084     0.00     0.00  state_entity_add_from_template
  0.00      0.55     0.00     6008     0.00     0.00  nk_rgba
  0.00      0.55     0.00     5994     0.00     0.00  nk_edit_string_zero_terminated
  0.00      0.55     0.00     5135     0.00     0.00  nk_input_has_mouse_click_in_rect
  0.00      0.55     0.00     5007     0.00     0.00  nk_end
  0.00      0.55     0.00     5000     0.00     0.00  state_point_light_remove
  0.00      0.55     0.00     4998     0.00     0.00  nk_input_has_mouse_click_down_in_rect
  0.00      0.55     0.00     4995     0.00     0.00  nk_begin
  0.00      0.55     0.00     4995     0.00     0.00  nk_begin_titled
  0.00      0.55     0.00     4995     0.00     0.00  nk_draw_list_fill_triangle
  0.00      0.55     0.00     4995     0.00     0.00  nk_fill_triangle
  0.00      0.55     0.00     4445     0.00     0.00  nk_strmatch_fuzzy_string
  0.00      0.55     0.00     4157     0.00     0.00  stbrp_init_target
  0.00      0.55     0.00     3996     0.00     0.00  debug_draw_mesh_textured_func
  0.00      0.55     0.00     3996     0.00     0.00  framebuffer_delete
  0.00      0.55     0.00     3996     0.00     0.00  framebuffer_unbind
  0.00      0.55     0.00     3996     0.00     0.00  nk_filter_binary
  0.00      0.55     0.00     3996     0.00     0.00  nk_input_button
  0.00      0.55     0.00     3996     0.00     0.00  nk_menubar_end
  0.00      0.55     0.00     3996     0.00     0.00  nk_str_get_const
  0.00      0.55     0.00     3996     0.00     0.00  nk_str_len_char
  0.00      0.55     0.00     3840     0.00     0.00  gui_material_properties
  0.00      0.55     0.00     3571     0.00     0.00  audio_music_end_callback
  0.00      0.55     0.00     3446     0.00     0.00  nk_label
  0.00      0.55     0.00     3446     0.00     0.00  nk_labelf
  0.00      0.55     0.00     3446     0.00     0.00  nk_labelfv
  0.00      0.55     0.00     3446     0.00     0.00  nk_text
  0.00      0.55     0.00     3446     0.00     0.00  nk_text_colored
  0.00      0.55     0.00     3400     0.00     0.00  nk_input_is_mouse_prev_hovering_rect
  0.00      0.55     0.00     2997     0.00     0.00  nk_layout_set_min_row_height
  0.00      0.55     0.00     2997     0.00     0.00  nk_menu_begin_label
  0.00      0.55     0.00     2997     0.00     0.00  nk_menu_begin_text
  0.00      0.55     0.00     2997     0.00     0.00  nk_tree_push_hashed
  0.00      0.55     0.00     2997     0.00     0.00  nk_window_is_collapsed
  0.00      0.55     0.00     2273     0.00     0.00  nk_utf_at
  0.00      0.55     0.00     2002     0.00     0.00  template_ui_pause_menu
  0.00      0.55     0.00     2000     0.00     0.00  gui_top_bar_win
  0.00      0.55     0.00     1998     0.00     0.00  nk_buffer_clear
  0.00      0.55     0.00     1998     0.00     0.00  nk_textedit_redo
  0.00      0.55     0.00     1063     0.00     0.00  shader_template_get
  0.00      0.55     0.00     1022     0.00     0.00  renderer_extra_draw_scene_mouse_pick
  0.00      0.55     0.00     1012     0.00     0.00  audio_load_audio
  0.00      0.55     0.00     1005     0.00     0.00  terrain_update
  0.00      0.55     0.00     1001     0.00     0.00  renderer_direct_draw_line
  0.00      0.55     0.00     1000     0.00     0.00  debug_draw_sphere_func
  0.00      0.55     0.00     1000     0.00     0.00  input_get_last_key_state
  0.00      0.55     0.00     1000     0.00     0.00  state_point_light_add
  0.00      0.55     0.00      999     0.00     0.26  app_update
  0.00      0.55     0.00      999     0.00     0.00  assetm_create_shader_dbg
  0.00      0.55     0.00      999     0.00     0.00  debug_draw_box_width_func
  0.00      0.55     0.00      999     0.00     0.00  gizmo_end_operation
  0.00      0.55     0.00      999     0.00     0.00  gizmo_update
  0.00      0.55     0.00      999     0.00     0.00  gui_light_hierarchy_win
  0.00      0.55     0.00      999     0.00     0.00  gui_properties_win
  0.00      0.55     0.00      999     0.00     0.00  gui_template_browser_win
  0.00      0.55     0.00      999     0.00     0.25  gui_update
  0.00      0.55     0.00      999     0.00     0.00  input_get_key_state
  0.00      0.55     0.00      999     0.00     0.00  mui_update
  0.00      0.55     0.00      999     0.00     0.00  nk__begin
  0.00      0.55     0.00      999     0.00     0.00  nk__draw_begin
  0.00      0.55     0.00      999     0.00     0.00  nk__draw_list_begin
  0.00      0.55     0.00      999     0.00     0.00  nk_button_symbol_label
  0.00      0.55     0.00      999     0.00     0.00  nk_button_symbol_text
  0.00      0.55     0.00      999     0.00     0.00  nk_button_symbol_text_styled
  0.00      0.55     0.00      999     0.00     0.00  nk_draw_list_setup
  0.00      0.55     0.00      999     0.00     0.00  nk_edit_buffer
  0.00      0.55     0.00      999     0.00     0.00  nk_edit_string
  0.00      0.55     0.00      999     0.00     0.00  nk_glfw3_new_frame
  0.00      0.55     0.00      999     0.00     0.25  nk_glfw3_render
  0.00      0.55     0.00      999     0.00     0.00  nk_input_begin
  0.00      0.55     0.00      999     0.00     0.00  nk_input_end
  0.00      0.55     0.00      999     0.00     0.00  nk_input_motion
  0.00      0.55     0.00      999     0.00     0.00  nk_input_scroll
  0.00      0.55     0.00      999     0.00     0.00  nk_menubar_begin
  0.00      0.55     0.00      999     0.00     0.00  nk_property_int
  0.00      0.55     0.00      999     0.00     0.00  nk_str_init_fixed
  0.00      0.55     0.00      999     0.00     0.00  nk_utf_len
  0.00      0.55     0.00      999     0.00     0.00  renderer_direct_draw_quad_textured_handle
  0.00      0.55     0.00      999     0.00     0.00  renderer_extra_draw_scene_outline
  0.00      0.55     0.00      998     0.00     0.00  renderer_direct_draw_mesh_textured_mat
  0.00      0.55     0.00      998     0.00     0.00  renderer_draw_terrain
  0.00      0.55     0.00      670     0.00     0.00  stbtt_IsGlyphEmpty
  0.00      0.55     0.00      576     0.00     0.00  stbtt_GetGlyphBitmapBoxSubpixel
  0.00      0.55     0.00      576     0.00     0.00  stbtt_GetGlyphBox
  0.00      0.55     0.00      416     0.00     0.00  stbtt_FindGlyphIndex
  0.00      0.55     0.00      384     0.00     0.00  nk_button_image_label_styled
  0.00      0.55     0.00      308     0.00     0.00  stbtt_GetGlyphShape
  0.00      0.55     0.00      224     0.00     0.00  stbtt_GetPackedQuad
  0.00      0.55     0.00      213     0.00     0.00  file_io_read_len_dbg
  0.00      0.55     0.00      202     0.00     0.00  phys_debug_draw_box_collider_func
  0.00      0.55     0.00      194     0.00     0.00  stbtt_PackSetSkipMissingCodepoints
  0.00      0.55     0.00      192     0.00     0.00  stbtt_GetGlyphBitmapBox
  0.00      0.55     0.00      192     0.00     0.00  stbtt_GetGlyphHMetrics
  0.00      0.55     0.00      192     0.00     0.00  stbtt_MakeGlyphBitmapSubpixel
  0.00      0.55     0.00      190     0.00     0.00  stbtt_Rasterize
  0.00      0.55     0.00      172     0.00     0.00  __gcc_deregister_frame
  0.00      0.55     0.00      158     0.00     0.00  assetm_check_texture_tex_file_func
  0.00      0.55     0.00      158     0.00     0.00  phys_debug_draw_velocity_func
  0.00      0.55     0.00      137     0.00     0.00  nk_input_is_mouse_down
  0.00      0.55     0.00      128     0.00     0.00  nk_check_text
  0.00      0.55     0.00      128     0.00     0.00  nk_checkbox_label
  0.00      0.55     0.00      128     0.00     0.00  nk_checkbox_text
  0.00      0.55     0.00       99     0.00     0.00  serialization_serialize_f32
  0.00      0.55     0.00       84     0.00     0.00  stbds_hmdel_key
  0.00      0.55     0.00       84     0.00     0.00  threadm_load_texture_arr
  0.00      0.55     0.00       83     0.00     0.00  nk_style_item_color
  0.00      0.55     0.00       82     0.00     0.00  thread_queue_init
  0.00      0.55     0.00       72     0.00     0.00  file_io_write_bytes_dbg
  0.00      0.55     0.00       64     0.00     0.00  _scripts_get_generic_
  0.00      0.55     0.00       64     0.00     0.00  gui_properties_scripts
  0.00      0.55     0.00       64     0.00     0.00  nk_tree_pop
  0.00      0.55     0.00       64     0.00     0.00  nk_tree_state_pop
  0.00      0.55     0.00       64     0.00     0.00  script_get_type_generic
  0.00      0.55     0.00       49     0.00     0.00  thread_timer_wait
  0.00      0.55     0.00       48     0.00     0.00  stbi_set_flip_vertically_on_load_thread
  0.00      0.55     0.00       47     0.00     0.00  event_sys_trigger_phys_trigger
  0.00      0.55     0.00       47     0.00     0.00  save_sys_write_empty_scene_to_file
  0.00      0.55     0.00       47     0.00     0.00  state_entity_duplicate
  0.00      0.55     0.00       47     0.00     0.00  texture_create_from_pixels
  0.00      0.55     0.00       46     0.00     0.00  phys_update_old
  0.00      0.55     0.00       42     0.00     0.00  assetm_register_texture_for_load
  0.00      0.55     0.00       41     0.00     0.00  asset_io_deserialize_texture_formatted
  0.00      0.55     0.00       41     0.00     0.00  debug_timer_clear_state
  0.00      0.55     0.00       41     0.00     0.00  thread_tls_get
  0.00      0.55     0.00       32     0.00     0.00  save_sys_load_scene_from_file_dbg
  0.00      0.55     0.00       29     0.00     0.00  phys_add_obj_box
  0.00      0.55     0.00       27     0.00     0.00  asset_io_convert_texture_dbg
  0.00      0.55     0.00       27     0.00     0.00  mesh_load_data_from_memory
  0.00      0.55     0.00       25     0.00     0.00  nk_group_begin
  0.00      0.55     0.00       25     0.00     0.00  nk_group_begin_titled
  0.00      0.55     0.00       25     0.00     0.00  nk_group_scrolled_offset_begin
  0.00      0.55     0.00       25     0.00     0.00  phys_add_obj_rb
  0.00      0.55     0.00       20     0.00     0.00  nk_handle_ptr
  0.00      0.55     0.00       18     0.00     0.00  phys_rotate_box_y
  0.00      0.55     0.00       17     0.00     0.00  nk_input_is_mouse_pressed
  0.00      0.55     0.00       16     0.00     0.00  nk_rgb
  0.00      0.55     0.00       15     0.00     0.00  phys_add_obj_sphere
  0.00      0.55     0.00       15     0.00     0.00  shader_create
  0.00      0.55     0.00       15     0.00     0.00  shader_create_from_file_func
  0.00      0.55     0.00       14     0.00     0.00  material_make
  0.00      0.55     0.00       12     0.00     0.00  nk_group_end
  0.00      0.55     0.00       12     0.00     0.00  nk_group_scrolled_end
  0.00      0.55     0.00       11     0.00     0.00  core_data_init
  0.00      0.55     0.00       11     0.00     0.00  phys_add_obj_rb_box
  0.00      0.55     0.00       10     0.00     0.00  mui_init
  0.00      0.55     0.00       10     0.00     0.00  nk_input_is_key_pressed
  0.00      0.55     0.00       10     0.00     0.00  nk_widget_bounds
  0.00      0.55     0.00        8     0.00     0.00  phys_add_obj_rb_sphere
  0.00      0.55     0.00        7     0.00     0.00  _script_remove_generic_
  0.00      0.55     0.00        7     0.00     0.00  phys_update_new
  0.00      0.55     0.00        6     0.00     0.00  _scripts_update_enemy_behaviour_script_t_
  0.00      0.55     0.00        6     0.00     0.00  scripts_add_enemy_behaviour_script_t
  0.00      0.55     0.00        5     0.00     0.00  framebuffer_bind
  0.00      0.55     0.00        5     0.00     0.00  stbds_shmode_func
  0.00      0.55     0.00        4     0.00     0.00  assetm_init
  0.00      0.55     0.00        4     0.00     0.00  text_load_font
  0.00      0.55     0.00        3     0.00     0.00  cubemap_load_dbg
  0.00      0.55     0.00        3     0.00     0.00  file_io_read_dbg
  0.00      0.55     0.00        3     0.00     0.00  nk_style_item_hide
  0.00      0.55     0.00        3     0.00     0.00  stbtt_PackSetOversampling
  0.00      0.55     0.00        3     0.00     0.00  stbtt_ScaleForPixelHeight
  0.00      0.55     0.00        3     0.00     0.00  text_draw_glyph_box
  0.00      0.55     0.00        2     0.00     0.00  _scripts_update_player_controller_script_t_
  0.00      0.55     0.00        2     0.00     0.00  file_io_read_bytes_dbg
  0.00      0.55     0.00        2     0.00     0.00  framebuffer_create_single_channel_f
  0.00      0.55     0.00        2     0.00     0.00  mesh_load_from_memory
  0.00      0.55     0.00        2     0.00     0.00  nk_buffer_init
  0.00      0.55     0.00        2     0.00     0.00  nk_glfw3_device_create
  0.00      0.55     0.00        2     0.00     0.00  nk_glfw3_mouse_button_callback
  0.00      0.55     0.00        2     0.00     0.00  nk_window_collapse
  0.00      0.55     0.00        2     0.00     0.00  save_sys_serialize_entity
  0.00      0.55     0.00        2     0.00     0.00  stbi_load_gif_from_memory
  0.00      0.55     0.00        2     0.00     0.00  terrain_create
  0.00      0.55     0.00        1     0.00     0.00  __scripts_get_script_entity_enemy_behaviour_script_t
  0.00      0.55     0.00        1     0.00     0.00  _scripts_update_fps_controller_script_t_
  0.00      0.55     0.00        1     0.00    10.00  app_cleanup
  0.00      0.55     0.00        1     0.00     0.00  app_init
  0.00      0.55     0.00        1     0.00     0.00  asset_io_convert_mesh
  0.00      0.55     0.00        1     0.00     0.00  asset_io_load_texture_full_path
  0.00      0.55     0.00        1     0.00     0.00  asset_io_load_texture_full_path_formatted
  0.00      0.55     0.00        1     0.00     0.00  asset_io_texture_write_pixels_to_buffer_u8
  0.00      0.55     0.00        1     0.00     0.00  assetm_create_shader_from_template_dbg
  0.00      0.55     0.00        1     0.00     0.00  assetm_get_material_by_idx_dbg
  0.00      0.55     0.00        1     0.00     0.00  camera_parent_entity_offset
  0.00      0.55     0.00        1     0.00     0.00  debug_timer_stop_timer_func
  0.00      0.55     0.00        1     0.00    10.00  editor_save_cleanup
  0.00      0.55     0.00        1     0.00     0.00  editor_save_init
  0.00      0.55     0.00        1     0.00     0.00  editor_save_load_info_from_file
  0.00      0.55     0.00        1     0.00    10.00  editor_save_write_info_to_file
  0.00      0.55     0.00        1     0.00     0.00  entity_table_init
  0.00      0.55     0.00        1     0.00     0.00  file_io_get_info
  0.00      0.55     0.00        1     0.00     0.00  file_io_search_dir_for_file_type
  0.00      0.55     0.00        1     0.00     0.00  framebuffer_create_gbuffer
  0.00      0.55     0.00        1     0.00     0.00  framebuffer_create_hdr
  0.00      0.55     0.00        1     0.00     0.00  framebuffer_create_rgb
  0.00      0.55     0.00        1     0.00     0.00  gui_init
  0.00      0.55     0.00        1     0.00     0.00  nk_buffer_init_default
  0.00      0.55     0.00        1     0.00     0.00  nk_draw_list_init
  0.00      0.55     0.00        1     0.00     0.00  nk_font_atlas_add
  0.00      0.55     0.00        1     0.00     0.00  nk_font_atlas_add_from_file
  0.00      0.55     0.00        1     0.00     0.00  nk_font_atlas_bake
  0.00      0.55     0.00        1     0.00     0.00  nk_font_atlas_begin
  0.00      0.55     0.00        1     0.00     0.00  nk_font_atlas_end
  0.00      0.55     0.00        1     0.00     0.00  nk_font_atlas_init_default
  0.00      0.55     0.00        1     0.00     0.00  nk_font_config
  0.00      0.55     0.00        1     0.00     0.00  nk_font_default_glyph_ranges
  0.00      0.55     0.00        1     0.00     0.00  nk_glfw3_font_stash_begin
  0.00      0.55     0.00        1     0.00     0.00  nk_glfw3_font_stash_end
  0.00      0.55     0.00        1     0.00     0.00  nk_glfw3_init
  0.00      0.55     0.00        1     0.00     0.00  nk_handle_id
  0.00      0.55     0.00        1     0.00     0.00  nk_init
  0.00      0.55     0.00        1     0.00     0.00  nk_init_default
  0.00      0.55     0.00        1     0.00     0.00  nk_layout_row_end
  0.00      0.55     0.00        1     0.00     0.00  nk_layout_row_static
  0.00      0.55     0.00        1     0.00     0.00  nk_style_default
  0.00      0.55     0.00        1     0.00     0.00  nk_style_from_table
  0.00      0.55     0.00        1     0.00     0.00  nk_style_load_all_cursors
  0.00      0.55     0.00        1     0.00     0.00  nk_style_set_font
  0.00      0.55     0.00        1     0.00   270.02  program_start
  0.00      0.55     0.00        1     0.00     0.00  renderer_extra_gen_brdf_lut
  0.00      0.55     0.00        1     0.00     0.00  save_sys_load_scene_from_path_dbg
  0.00      0.55     0.00        1     0.00     0.00  save_sys_load_scene_terrain
  0.00      0.55     0.00        1     0.00     0.00  save_sys_serialize_terrain_layout
  0.00      0.55     0.00        1     0.00     0.02  save_sys_write_structure_to_file
  0.00      0.55     0.00        1     0.00     0.00  save_sys_write_terrain_to_current_file
  0.00      0.55     0.00        1     0.00     0.00  save_sys_write_terrain_to_file_dbg
  0.00      0.55     0.00        1     0.00     0.00  scripts_add_fps_controller_script_t
  0.00      0.55     0.00        1     0.00     0.00  stbrp_setup_allow_out_of_mem
  0.00      0.55     0.00        1     0.00     0.00  stbtt_GetFontVMetrics
  0.00      0.55     0.00        1     0.00     0.00  stbtt_InitFont
  0.00      0.55     0.00        1     0.00     0.00  stbtt_PackBegin
  0.00      0.55     0.00        1     0.00     0.00  stbtt_PackEnd
  0.00      0.55     0.00        1     0.00     0.00  stbtt_PackFontRangesGatherRects
  0.00      0.55     0.00        1     0.00     0.00  stbtt_PackFontRangesRenderIntoRects
  0.00      0.55     0.00        1     0.00     0.00  terrain_calculate_normals_tangents
  0.00      0.55     0.00        1     0.00     0.00  text_make_glyph
  0.00      0.55     0.00        1     0.00     0.00  window_set_texturebuffer_to_update_to_screen_size

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 1.82% of 0.55 seconds

index % time    self  children    called     name
                0.00    0.27       1/1           main [2]
[1]     49.1    0.00    0.27       1         program_start [1]
                0.00    0.26     999/999         app_update [3]
                0.01    0.00     999/999         renderer_update [24]
                0.00    0.00    1000/6084        state_entity_add_from_template [30]
                0.00    0.00       1/1022        renderer_extra_draw_scene_mouse_pick [44]
                0.00    0.00       2/84          threadm_load_texture_arr [50]
                0.00    0.00       1/1           app_init [78]
                0.00    0.00    1000/1000        debug_draw_sphere_func [111]
                0.00    0.00       1/158         assetm_check_texture_tex_file_func [85]
                0.00    0.00       1/42          assetm_register_texture_for_load [100]
                0.00    0.00       2/11          core_data_init [151]
                0.00    0.00   16010/36046       debug_timer_stop_timer_static_print_func [205]
                0.00    0.00    8018/18023       debug_timer_stop_timer_static_func [214]
                0.00    0.00    2018/48315       stbds_rand_seed [194]
                0.00    0.00    1002/2002        template_ui_pause_menu [262]
                0.00    0.00    1000/1012        audio_load_audio [266]
                0.00    0.00    1000/1005        terrain_update [267]
                0.00    0.00     999/53947       window_set_mode [193]
                0.00    0.00     999/999         mui_update [275]
                0.00    0.00      26/41          debug_timer_clear_state [324]
                0.00    0.00       2/140958      stbds_hash_string [180]
                0.00    0.00       1/1           window_set_texturebuffer_to_update_to_screen_size [395]
                0.00    0.00       1/1           debug_timer_stop_timer_func [369]
                0.00    0.00       1/1000        input_get_last_key_state [269]
                0.00    0.00       1/1           asset_io_convert_mesh [362]
                0.00    0.00       1/1063        shader_template_get [265]
                0.00    0.00       1/1           entity_table_init [370]
                0.00    0.00       1/99          serialization_serialize_f32 [308]
                0.00    0.00       1/2           save_sys_serialize_entity [359]
                0.00    0.00       1/999         renderer_direct_draw_quad_textured_handle [288]
                0.00    0.00       1/1           camera_parent_entity_offset [368]
                0.00    0.00       1/27959       renderer_init [208]
                0.00    0.00       1/10          mui_init [339]
                0.00    0.00       1/2           _scripts_update_player_controller_script_t_ [5730]
                0.00    0.00       1/46          phys_update_old [322]
-----------------------------------------------
                                                 <spontaneous>
[2]     49.1    0.00    0.27                 main [2]
                0.00    0.27       1/1           program_start [1]
                0.00    0.00     172/172         __gcc_deregister_frame [5726]
                0.00    0.00       1/48315       stbds_rand_seed [194]
-----------------------------------------------
                0.00    0.26     999/999         program_start [1]
[3]     46.7    0.00    0.26     999         app_update [3]
                0.00    0.25     999/999         gui_update [4]
                0.00    0.00     999/6084        state_entity_add_from_template [30]
                0.00    0.00     999/1022        renderer_extra_draw_scene_mouse_pick [44]
